Order ID,Customer Name,Date,Region,Category,Product,Quantity,Price,Sales,Email
1528,Soumya Das,2026-05-07,North,Furniture,Sofa,6,18000,108000,soumya.das@gmail.com
1360,Arjun Kumar,2026-03-21,West,Stationery,Notebook,-4,80,80,arjun.kumar@gmail.com
1448,Puja Roy,2026-04-06,South,Stationery,File,5,35,175,puja.roy@gmail.com
1032,Ananya Paul,2026-01-18,East,Stationery,Notebook,6,80,480,ananya.paul@gmail.com
1622,Amit Ghosh,2026-04-19,East,Electronics,Headphones,9,1800,16200,amit.ghosh@gmail.com
1591, Amit Dutta ,2026-01-06,West,Food,rice,2,60,120,amit.dutta@gmail.com
1906,Ankit Kumar,2026-05-03,West,Stationery,Notebook,7,80,560,
1738,Ananya Roy,2026-02-22,South,Clothing,Shoes,6,2200,13200,ananya.roy@gmail.com
1077, Sneha Dutta ,2026-03-14,North,Furniture,Sofa,9,18000,162000,sneha.dutta@gmail.com
1949,Arjun Sen,2026-01-26,North,Electronics,Monitor,2,12000,24000,arjun.sen@gmail.com
1433, Abhishek Singh ,2026-01-18,West,Electronics,Mobile,6,25000,150000,abhishek.singh@gmail.com
1071,Sayan Singh,2026-04-26,North,Stationery,Pencil,9,10,90,sayan.singh@gmail.com
1681,Ankit Paul,2026-06-19,South,Stationery,file,7,35,245,ankit.paul@gmail.com
1102,Priya Dutta,2026-06-13,South,Stationery,Pen,4,20,80,priya.dutta@gmail.com
1846,Ananya Kumar,2026-02-19,North,Electronics,Headphones,9,1800,16200,ananya.kumar@gmail.com
1657,Ravi Sen,2026-01-08,South,Stationery,Pen,3,20,,ravi.sen@gmail.com
1311, Ankit Banerjee ,2026-01-19,South,Stationery,File,9,35,,
1345,Abhishek Dutta,2026-01-31,North,Furniture,Chair,7,1800,12600,abhishek.dutta@gmail.com
1838,Riya Das,2026-02-06,East,Clothing,Jeans,2,1800,3600, riya.das@gmail.com 
1175,Rahul Banerjee,2026-01-29,West,Food,Sugar,8,55,440,rahul.banerjee@gmail.com
1097,Meena Dutta,2026-05-25,West,Stationery,Marker,10,40,,meena.dutta@gmail.com
1823,Riya Sharma,2026-04-18,South,Food,Tea,5,250,,riya.sharma@gmail.com
1599,Sayan Kumar,2026-01-20,South,Food,Biscuits,10,50,500,sayan.kumar@gmail.com
1219,Ravi Das,2026-06-21,North,Clothing,T-Shirt,5,800,4000,
1421,Tanya Kumar,2026/06/13,West,Stationery,File,8,35,280,tanya.kumar@gmail.com
1209,Moumita Banerjee,2026-01-11,South,Food,Tea,4,250,1000,moumita.banerjee@gmail.com
1775,Meena Dutta,2026-06-20,South,Stationery,Pencil,-4,10,60,meena.dutta@gmail.com
1291,Abhishek Paul,2026-03-03,West,Electronics,Tablet,9,30000,270000,abhishek.paul@gmail.com
1890,Arjun Sen,2026-04-13,West,Electronics,Headphones,9,1800,16200,
1671,Vikash Paul,2026-01-11,West,Furniture,Shelf,10,3500,35000,vikash.paul@gmail.com
1904,Priya Banerjee,2026-06-29,West,Furniture,Table,5,4500,22500,priya.banerjee@gmail.com
1412,Karan Paul,2026-01-25,West,Electronics,Monitor,1,12000,12000,karan.paul@gmail.com
1637,Tanya Singh,,North,Electronics,Mobile,6,25000,150000,tanya.singh@gmail.com
1330,Ankit Sharma,2026-06-15,East,Clothing,Jacket,6,2500,15000,ankit.sharma@gmail.com
1738,Ananya Roy,2026-02-22,South,Clothing,Shoes,6,2200,13200,ananya.roy@gmail.com
1763,Riya Roy,2026-05-30,South,Food,Biscuits,8,50,400,riya.roy@gmail.com
1491,Arjun Sen,,East,Electronics,Laptop,3,55000,165000,arjun.sen@gmail.com
1351,Amit Kumar,2026/03/28,North,Food,Sugar,-4,55,110,amit.kumar@gmail.com
1501, Ankit Das ,2026-06-08,West,Electronics,Monitor,7,12000,84000,ankit.das@gmail.com
1308,Puja Paul,2026-05-19,North,Stationery,File,8,35,,puja.paul@gmail.com
1854,Moumita Banerjee,2026-05-20,East,Food,Oil,7,150,1050,moumita.banerjee@gmail.com
1352,Sneha Das,2026-05-08,East,Stationery,Notebook,8,80,640,sneha.das@gmail.com
1644,Ravi Roy,2026-03-27,East,Food,Tea,5,,1250, ravi.roy@gmail.com 
1440,Karan Sharma,2026/03/26,South,Electronics,Monitor,7,12000,84000,karan.sharma@gmail.com
1820,Neha Dutta,2026-03-24,south,Clothing,Jacket,3,2500,7500, neha.dutta@gmail.com 
1834,Tanya Paul,2026-06-09,South,Stationery,Notebook,-5,80,640,tanya.paul@gmail.com
1519,Sneha Roy,2026-06-11,North,Clothing,Jacket,4,,,sneha.roy@gmail.com
1555,Moumita Kumar,2026-01-10,NORTH,Furniture,Chair,1,1800,1800,moumita.kumar@gmail.com
1290, Meena Ghosh ,2026-05-05,West,Food,Tea,3,250,750,meena.ghosh@gmail.com
1293,Ankit Roy,2026-05-17,West,Clothing,Shoes,1,2200,2200,ankit.roy@gmail.com
1214, Riya Das ,2026-02-19,East,Stationery,Pen,3,20,60,riya.das@gmail.com
1967, Abhishek Ghosh ,invalid-date,West,Clothing,Jacket,8,2500,20000,abhishek.ghosh@gmail.com
1060,Tanya Singh,2026-01-21,North,Furniture,Desk,2,6000,12000,tanya.singh@gmail.com
1693,Riya Dutta,2026-02-12,East,Clothing,Jacket,2,2500,5000,riya.dutta@gmail.com
1322,Riya Singh,2026-04-27,North,Electronics,Headphones,-1,1800,9000,riya.singh@gmail.com
1011,Sayan Ghosh,2026-03-05,North,Electronics,Laptop,1,55000,55000,sayan.ghosh@gmail.com
1332,Soumya Singh,2026-06-04,East,Electronics,Monitor,7,12000,84000,soumya.singh@gmail.com
